ItemID,LocationID,ReportingPeriodID,ScenarioID,MonthID,Date,Sum_GrossMarginAmount,Sum_Regular_Sales_Dollars,Sum_Regular_Sales_Units
724,8,20140401,1,1,2014-04-01 00:00:00,1.01,1.79,1
724,25,20140301,1,1,2014-03-01 00:00:00,1.01,1.79,1
724,25,20140501,1,1,2014-05-01 00:00:00,1.01,1.79,1
724,551,20140401,1,1,2014-04-01 00:00:00,1.01,1.79,1
725,551,20140101,1,1,2014-01-01 00:00:00,4.04,7.16,4
890,5,20140301,1,1,2014-03-01 00:00:00,1.25,0,0
890,7,20140601,1,1,2014-06-01 00:00:00,2.5,0,0
890,16,20140501,1,1,2014-05-01 00:00:00,-20.5,13.25,20
1356,39,20140101,1,1,2014-01-01 00:00:00,1.74,1.99,1
1446,38,20140401,1,1,2014-04-01 00:00:00,-3.5,0,0
1466,25,20140101,1,1,2014-01-01 00:00:00,-2.25,1.5,1
1588,7,20140301,1,1,2014-03-01 00:00:00,-0.25,0,0
1849,5,20140101,1,1,2014-01-01 00:00:00,0.49,0.99,1
1867,13,20140101,1,1,2014-01-01 00:00:00,-3,0,0
1867,18,20140401,1,1,2014-04-01 00:00:00,-2.75,0,0
2307,7,20140501,1,1,2014-05-01 00:00:00,-2.94,-5.99,-1
2399,26,20140401,1,1,2014-04-01 00:00:00,-3,0,0
2483,8,20140601,1,1,2014-06-01 00:00:00,-2.49,-4.99,-1
2497,32,20140601,1,1,2014-06-01 00:00:00,-5.25,1.5,3
3086,25,20140101,1,1,2014-01-01 00:00:00,-143,0,0
3172,31,20140401,1,1,2014-04-01 00:00:00,0,0,0
3182,25,20140101,1,1,2014-01-01 00:00:00,-244,140,3
3189,8,20140601,1,1,2014-06-01 00:00:00,-3.24,-5.99,-1
3243,3,20140601,1,1,2014-06-01 00:00:00,2.5,0,0
3243,4,20140301,1,1,2014-03-01 00:00:00,3.24,6.99,1
3243,13,20140301,1,1,2014-03-01 00:00:00,3.24,6.99,1
3243,19,20140101,1,1,2014-01-01 00:00:00,3.24,6.99,1
3243,25,20140101,1,1,2014-01-01 00:00:00,6.48,13.98,2
3243,28,20140101,1,1,2014-01-01 00:00:00,9.72,20.97,3
3243,32,20140601,1,1,2014-06-01 00:00:00,1.25,0,0
3243,38,20140101,1,1,2014-01-01 00:00:00,16.2,34.95,5
3243,38,20140501,1,1,2014-05-01 00:00:00,3.24,6.99,1
3243,38,20140601,1,1,2014-06-01 00:00:00,1.25,0,0
3244,5,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,5,20140501,1,1,2014-05-01 00:00:00,5.49,12.99,1
3244,8,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,11,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,21,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,24,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,27,20140101,1,1,2014-01-01 00:00:00,62.89,152.89,12
3244,34,20140101,1,1,2014-01-01 00:00:00,10.98,25.98,2
3244,40,20140101,1,1,2014-01-01 00:00:00,0,0,0
3244,519,20140501,1,1,2014-05-01 00:00:00,5.49,12.99,1
3245,4,20140101,1,1,2014-01-01 00:00:00,47.92,159.92,8
3245,7,20140101,1,1,2014-01-01 00:00:00,29.95,99.95,5
3245,10,20140101,1,1,2014-01-01 00:00:00,47.92,159.92,8
3245,20,20140101,1,1,2014-01-01 00:00:00,23.96,79.96,4
3245,23,20140101,1,1,2014-01-01 00:00:00,0,0,0
3245,26,20140101,1,1,2014-01-01 00:00:00,29.95,99.95,5
3245,33,20140101,1,1,2014-01-01 00:00:00,41.93,139.93,7
3245,39,20140101,1,1,2014-01-01 00:00:00,29.95,99.95,5
3250,2,20140101,1,1,2014-01-01 00:00:00,27.93,55.93,7
3250,2,20140501,1,1,2014-05-01 00:00:00,4.99,7.99,1
3250,5,20140101,1,1,2014-01-01 00:00:00,39.9,79.9,10
3250,5,20140501,1,1,2014-05-01 00:00:00,3.99,7.99,1
3250,5,20140601,1,1,2014-06-01 00:00:00,11.97,23.97,3
3250,12,20140101,1,1,2014-01-01 00:00:00,-3.99,-7.99,-1
3250,14,20140401,1,1,2014-04-01 00:00:00,31.92,63.92,8
3250,21,20140101,1,1,2014-01-01 00:00:00,15.96,31.96,4
3250,25,20140601,1,1,2014-06-01 00:00:00,3.99,7.99,1
3250,28,20140101,1,1,2014-01-01 00:00:00,11.97,23.97,3
3250,28,20140601,1,1,2014-06-01 00:00:00,31.92,63.92,8
3250,31,20140101,1,1,2014-01-01 00:00:00,27.93,55.93,7
3250,31,20140601,1,1,2014-06-01 00:00:00,11.97,23.97,3
3250,34,20140101,1,1,2014-01-01 00:00:00,43.89,87.89,11
3250,34,20140601,1,1,2014-06-01 00:00:00,3.99,7.99,1
3250,37,20140101,1,1,2014-01-01 00:00:00,35.91,71.91,9
3250,37,20140501,1,1,2014-05-01 00:00:00,3.99,7.99,1
3250,519,20140101,1,1,2014-01-01 00:00:00,15.96,31.96,4
3250,519,20140501,1,1,2014-05-01 00:00:00,11.97,23.97,3
3250,555,20140101,1,1,2014-01-01 00:00:00,11.97,23.97,3
3265,13,20140101,1,1,2014-01-01 00:00:00,0,0,0
3349,3,20140101,1,1,2014-01-01 00:00:00,4.99,9.99,1
3391,38,20140501,1,1,2014-05-01 00:00:00,-0.2,7,2
3409,20,20140301,1,1,2014-03-01 00:00:00,0.95,1.79,1
3982,38,20140101,1,1,2014-01-01 00:00:00,-5,0,0
4111,25,20140401,1,1,2014-04-01 00:00:00,0.48,0.98,2
4407,551,20140101,1,1,2014-01-01 00:00:00,0.75,0,0
4408,14,20140601,1,1,2014-06-01 00:00:00,-0.25,0,0
4411,27,20140101,1,1,2014-01-01 00:00:00,-0.25,0,0
4822,37,20140101,1,1,2014-01-01 00:00:00,2.25,0,0
5191,2,20140101,1,1,2014-01-01 00:00:00,3.49,7.99,1
5191,5,20140101,1,1,2014-01-01 00:00:00,10.47,23.97,3
5191,8,20140101,1,1,2014-01-01 00:00:00,13.96,31.96,4
5191,15,20140501,1,1,2014-05-01 00:00:00,6.98,15.98,2
5191,18,20140501,1,1,2014-05-01 00:00:00,13.96,31.96,4
5191,21,20140501,1,1,2014-05-01 00:00:00,6.98,15.98,2
5191,21,20140601,1,1,2014-06-01 00:00:00,17.45,39.95,5
5191,24,20140501,1,1,2014-05-01 00:00:00,6.98,15.98,2
5191,34,20140101,1,1,2014-01-01 00:00:00,13.96,31.96,4
5191,40,20140101,1,1,2014-01-01 00:00:00,13.96,31.96,4
5193,13,20140501,1,1,2014-05-01 00:00:00,19.95,49.95,5
5193,13,20140601,1,1,2014-06-01 00:00:00,3.99,9.99,1
5193,16,20140501,1,1,2014-05-01 00:00:00,7.98,19.98,2
5193,19,20140501,1,1,2014-05-01 00:00:00,7.98,19.98,2
5196,10,20140301,1,1,2014-03-01 00:00:00,-6,0,0
5196,10,20140501,1,1,2014-05-01 00:00:00,11.98,25.98,2
5196,10,20140601,1,1,2014-06-01 00:00:00,5.99,12.99,1
5196,13,20140501,1,1,2014-05-01 00:00:00,5.99,12.99,1
5196,39,20140601,1,1,2014-06-01 00:00:00,-5.99,-12.99,-1
5199,8,20140801,1,1,2014-08-01 00:00:00,6.49,14.99,1
5199,13,20140501,1,1,2014-05-01 00:00:00,25.96,59.96,4
5199,13,20140601,1,1,2014-06-01 00:00:00,19.47,44.97,3
5199,31,20140301,1,1,2014-03-01 00:00:00,12.98,29.98,2
5199,34,20140801,1,1,2014-08-01 00:00:00,19.47,44.97,3
5199,36,20140601,1,1,2014-06-01 00:00:00,12.98,29.98,2
5199,39,20140501,1,1,2014-05-01 00:00:00,12.98,29.98,2
5199,39,20140601,1,1,2014-06-01 00:00:00,6.49,14.99,1
5199,40,20140801,1,1,2014-08-01 00:00:00,4.99,13.49,1
5199,519,20140801,1,1,2014-08-01 00:00:00,6.49,14.99,1
5310,4,20140301,1,1,2014-03-01 00:00:00,1,0,0
5310,13,20140301,1,1,2014-03-01 00:00:00,-1,0,0
5314,12,20140801,1,1,2014-08-01 00:00:00,-13,12.5,1
5442,32,20140301,1,1,2014-03-01 00:00:00,-0.02,0.1,1
5591,5,20140801,1,1,2014-08-01 00:00:00,2.81,6.31,7
5591,7,20140601,1,1,2014-06-01 00:00:00,53.6,33.6,17
5591,8,20140801,1,1,2014-08-01 00:00:00,12.3,23.8,24
5591,10,20140601,1,1,2014-06-01 00:00:00,10.5,5,7
5591,11,20140801,1,1,2014-08-01 00:00:00,0,0.5,1
5591,13,20140601,1,1,2014-06-01 00:00:00,50.3,82.8,74
5591,15,20140401,1,1,2014-04-01 00:00:00,0.5,0,0
5591,34,20140801,1,1,2014-08-01 00:00:00,0.5,0,0
5591,36,20140601,1,1,2014-06-01 00:00:00,23.84,77.84,78
5591,37,20140801,1,1,2014-08-01 00:00:00,12.6,16.6,11
5591,39,20140601,1,1,2014-06-01 00:00:00,23.42,41.92,37
6270,16,20140301,1,1,2014-03-01 00:00:00,0,0,0
6319,5,20140601,1,1,2014-06-01 00:00:00,-1.5,0.5,1
6319,40,20140601,1,1,2014-06-01 00:00:00,-1.5,0.5,1
6324,18,20140301,1,1,2014-03-01 00:00:00,-0.25,0,0
6324,35,20140601,1,1,2014-06-01 00:00:00,-0.25,0,0
6331,14,20140301,1,1,2014-03-01 00:00:00,2.99,5.99,1
6822,19,20140601,1,1,2014-06-01 00:00:00,1.49,2.99,1
6891,2,20140601,1,1,2014-06-01 00:00:00,10.98,19.98,2
6891,3,20140801,1,1,2014-08-01 00:00:00,21.96,39.96,4
6891,5,20140601,1,1,2014-06-01 00:00:00,10.98,19.98,2
6891,6,20140801,1,1,2014-08-01 00:00:00,10.98,19.98,2
6891,11,20140601,1,1,2014-06-01 00:00:00,27.45,49.95,5
6891,31,20140601,1,1,2014-06-01 00:00:00,21.96,39.96,4
6891,32,20140801,1,1,2014-08-01 00:00:00,27.45,49.95,5
6891,34,20140601,2,2,2014-06-01 00:00:00,43.92,79.92,8
6891,35,20140801,1,1,2014-08-01 00:00:00,5.49,9.99,1
6891,37,20140601,1,1,2014-06-01 00:00:00,27.45,49.95,5
6891,38,20140801,1,1,2014-08-01 00:00:00,5.49,9.99,1
6891,40,20140601,1,1,2014-06-01 00:00:00,5.49,9.99,1
6891,551,20140601,1,1,2014-06-01 00:00:00,5.49,9.99,1
6893,3,20140601,1,1,2014-06-01 00:00:00,0,0,0
6893,4,20140801,1,1,2014-08-01 00:00:00,5.49,9.99,1
6893,6,20140601,1,1,2014-06-01 00:00:00,10.98,19.98,2
6893,9,20140601,1,1,2014-06-01 00:00:00,27.45,49.95,5
6893,21,20140301,1,1,2014-03-01 00:00:00,5.49,9.99,1
6893,27,20140801,1,1,2014-08-01 00:00:00,16.47,29.97,3
6893,32,20140601,1,1,2014-06-01 00:00:00,4.49,8.99,1
6893,32,20140701,1,1,2014-07-01 00:00:00,10.98,19.98,2
6893,33,20140801,1,1,2014-08-01 00:00:00,16.47,29.97,3
6893,35,20140601,1,1,2014-06-01 00:00:00,5.49,9.99,1
6893,35,20140701,1,1,2014-07-01 00:00:00,10.98,19.98,2
6893,36,20140801,1,1,2014-08-01 00:00:00,16.47,29.97,3
6893,38,20140601,1,1,2014-06-01 00:00:00,10.98,19.98,2
6899,3,20140601,1,1,2014-06-01 00:00:00,1.99,4.99,1
7261,40,20140401,1,1,2014-04-01 00:00:00,1.39,1.99,1
7376,9,20140401,1,1,2014-04-01 00:00:00,0.51,0.99,1
7388,6,20140401,1,1,2014-04-01 00:00:00,0.51,0.99,1
7708,25,20140301,1,1,2014-03-01 00:00:00,0.84,1.99,1
7865,28,20140801,1,1,2014-08-01 00:00:00,0,0,0
7888,525,20140401,1,1,2014-04-01 00:00:00,13.49,29.99,1
8204,13,20140701,1,1,2014-07-01 00:00:00,17.2,53.2,36
8204,16,20140601,1,1,2014-06-01 00:00:00,40.67,123.67,83
8204,16,20140701,1,1,2014-07-01 00:00:00,3.43,10.43,7
8204,22,20140601,1,1,2014-06-01 00:00:00,20.58,62.58,42
8208,4,20140601,1,1,2014-06-01 00:00:00,7.04,23.84,16
8208,7,20140301,1,1,2014-03-01 00:00:00,19.49,67.79,46
8208,7,20140601,1,1,2014-06-01 00:00:00,20.66,71.06,48
8208,7,20140801,1,1,2014-08-01 00:00:00,4.4,14.9,10
8208,9,20140701,1,1,2014-07-01 00:00:00,-4.95,-4.95,0
8208,10,20140301,1,1,2014-03-01 00:00:00,7.48,25.33,17
8208,10,20140801,1,1,2014-08-01 00:00:00,7.48,25.33,17
8208,12,20140601,1,1,2014-06-01 00:00:00,11.44,38.74,26
8208,12,20140701,1,1,2014-07-01 00:00:00,8.5,29.5,20
8208,13,20140601,1,1,2014-06-01 00:00:00,28.75,98.05,66
8208,13,20140801,1,1,2014-08-01 00:00:00,7.48,25.33,17
8208,15,20140601,1,1,2014-06-01 00:00:00,23.76,80.46,54
8208,16,20140801,1,1,2014-08-01 00:00:00,6.6,22.35,15
8208,22,20140401,1,1,2014-04-01 00:00:00,21.13,107.23,82
8208,25,20140401,1,1,2014-04-01 00:00:00,36.08,122.18,82
8208,28,20140401,1,1,2014-04-01 00:00:00,32.26,112.06,76
8208,33,20140301,1,1,2014-03-01 00:00:00,9.24,31.29,21
8208,33,20140601,1,1,2014-06-01 00:00:00,23.9,82.7,56
8208,36,20140601,1,1,2014-06-01 00:00:00,21.42,72.87,49
8208,39,20140301,1,1,2014-03-01 00:00:00,17.82,61.92,42
8208,39,20140601,1,1,2014-06-01 00:00:00,20.38,69.73,47
8208,39,20140801,1,1,2014-08-01 00:00:00,2.78,10.13,7
8221,2,20140601,1,1,2014-06-01 00:00:00,12.45,52,35
8221,2,20140701,1,1,2014-07-01 00:00:00,-3.75,96.82,89
8221,3,20140801,1,1,2014-08-01 00:00:00,12.24,50.66,34
8221,5,20140601,1,1,2014-06-01 00:00:00,32.67,136.63,92
8221,9,20140401,1,1,2014-04-01 00:00:00,14.61,60.94,41
8221,12,20140401,1,1,2014-04-01 00:00:00,21.6,89.4,60
8221,20,20140301,1,1,2014-03-01 00:00:00,3.6,14.9,10
8221,25,20140701,1,1,2014-07-01 00:00:00,9.96,92.45,73
8221,26,20140801,1,1,2014-08-01 00:00:00,-46.55,59.67,94
8221,28,20140601,1,1,2014-06-01 00:00:00,-12.88,45.88,52
8221,31,20140601,1,1,2014-06-01 00:00:00,12.13,129.65,104
8221,31,20140701,1,1,2014-07-01 00:00:00,-25.53,133.8,141
8221,34,20140601,1,1,2014-06-01 00:00:00,4.32,17.88,12
8221,37,20140601,1,1,2014-06-01 00:00:00,24.66,104.89,71
8224,2,20140601,1,1,2014-06-01 00:00:00,11.79,50.21,34
8224,9,20140401,1,1,2014-04-01 00:00:00,4.02,17.58,12
8224,12,20140401,1,1,2014-04-01 00:00:00,30.09,125.01,84
8224,22,20140701,1,1,2014-07-01 00:00:00,5.75,83.72,69
8224,25,20140601,1,1,2014-06-01 00:00:00,16.15,129.15,100
8224,25,20140701,1,1,2014-07-01 00:00:00,11.97,146.44,119
8224,26,20140801,1,1,2014-08-01 00:00:00,-56.13,72.69,114
8224,28,20140601,1,1,2014-06-01 00:00:00,-22.48,63.4,76
8224,31,20140601,1,1,2014-06-01 00:00:00,-15.66,90.56,94
8224,34,20140601,1,1,2014-06-01 00:00:00,4.68,19.37,13
8224,35,20140401,1,1,2014-04-01 00:00:00,12.21,55.15,38
8225,19,20140301,1,1,2014-03-01 00:00:00,0.59,1.99,1
8226,4,20140401,1,1,2014-04-01 00:00:00,0.36,1.49,1
8226,7,20140401,1,1,2014-04-01 00:00:00,16.41,68.39,46
8226,10,20140401,1,1,2014-04-01 00:00:00,23.61,98.19,66
8226,20,20140701,1,1,2014-07-01 00:00:00,0.36,1.49,1
8226,23,20140601,1,1,2014-06-01 00:00:00,0.36,1.49,1
8226,26,20140601,1,1,2014-06-01 00:00:00,14.4,59.6,40
8226,26,20140701,1,1,2014-07-01 00:00:00,9.36,71.51,55
8226,32,20140601,1,1,2014-06-01 00:00:00,2.37,10.28,7
8226,33,20140401,1,1,2014-04-01 00:00:00,22.59,94.91,64
8226,39,20140401,1,1,2014-04-01 00:00:00,11.73,49.02,33
8227,20,20140301,1,1,2014-03-01 00:00:00,11.8,29.8,20
8227,27,20140401,1,1,2014-04-01 00:00:00,0.59,1.49,1
8294,34,20140301,1,1,2014-03-01 00:00:00,12.08,29.28,17
8743,20,20140601,1,1,2014-06-01 00:00:00,-0.5,0,0
8744,528,20140301,1,1,2014-03-01 00:00:00,-0.5,0,0
8744,540,20140401,1,1,2014-04-01 00:00:00,-0.5,0,0
8744,557,20140801,1,1,2014-08-01 00:00:00,1.49,2.99,1
8944,27,20140401,1,1,2014-04-01 00:00:00,-18.18,-18.18,0
9060,14,20140801,1,1,2014-08-01 00:00:00,-2.99,-5.99,-1
9161,33,20140401,1,1,2014-04-01 00:00:00,-0.25,0,0
9225,557,20140701,1,1,2014-07-01 00:00:00,-3.19,-4.99,-1
9485,11,20140401,1,1,2014-04-01 00:00:00,7.49,19.99,1
9485,22,20140301,1,1,2014-03-01 00:00:00,29.96,79.96,4
9485,28,20140301,1,1,2014-03-01 00:00:00,22.47,59.97,3
9716,21,20140401,1,1,2014-04-01 00:00:00,0.01,-9.99,-1
9716,519,20140701,1,1,2014-07-01 00:00:00,-7,0,0
9719,8,20140601,1,1,2014-06-01 00:00:00,-2,0,0
9794,21,20140301,1,1,2014-03-01 00:00:00,4.99,9.99,1
10394,5,20140401,1,1,2014-04-01 00:00:00,11.2,35,14
10394,8,20140401,2,2,2014-04-01 00:00:00,12.200000000000001,44.5,19
10394,11,20140401,1,1,2014-04-01 00:00:00,35.8,114,46
10394,14,20140401,1,1,2014-04-01 00:00:00,42.4,132.5,53
10394,16,20140301,1,1,2014-03-01 00:00:00,19.55,63.75,26
10394,19,20140301,1,1,2014-03-01 00:00:00,1.6,5,2
10394,21,20140701,1,1,2014-07-01 00:00:00,17.78,123.18,62
10394,22,20140301,1,1,2014-03-01 00:00:00,3.2,10,4
10394,22,20140801,1,1,2014-08-01 00:00:00,0.87,5.97,3
10394,24,20140701,1,1,2014-07-01 00:00:00,11.6,79.6,40
10394,25,20140801,1,1,2014-08-01 00:00:00,1.45,9.95,5
10394,26,20140401,1,1,2014-04-01 00:00:00,-0.2,1.5,1
10394,27,20140701,1,1,2014-07-01 00:00:00,2.03,13.93,7
10394,28,20140801,1,1,2014-08-01 00:00:00,3.48,23.88,12
10394,34,20140401,1,1,2014-04-01 00:00:00,50.4,157.5,63
10394,37,20140401,1,1,2014-04-01 00:00:00,2.4,7.5,3
10394,40,20140401,1,1,2014-04-01 00:00:00,9.35,29.75,12
10394,503,20140301,1,1,2014-03-01 00:00:00,-13.3,0,0
10394,503,20140701,1,1,2014-07-01 00:00:00,3.37,25.47,13
10394,504,20140301,1,1,2014-03-01 00:00:00,4,12.5,5
10394,507,20140301,1,1,2014-03-01 00:00:00,29.6,92.5,37
10394,510,20140801,1,1,2014-08-01 00:00:00,1.16,7.96,4
10394,512,20140701,1,1,2014-07-01 00:00:00,6.39,31.89,15
10394,519,20140401,1,1,2014-04-01 00:00:00,0.8,2.5,1
10394,522,20140401,1,1,2014-04-01 00:00:00,3.2,10,4
10394,530,20140301,1,1,2014-03-01 00:00:00,9.6,30,12
10394,535,20140701,1,1,2014-07-01 00:00:00,5.51,37.81,19
10394,536,20140301,1,1,2014-03-01 00:00:00,6.4,20,8
10394,538,20140701,1,1,2014-07-01 00:00:00,16.54,101.54,50
10394,543,20140401,1,1,2014-04-01 00:00:00,28,87.5,35
10394,548,20140401,1,1,2014-04-01 00:00:00,2.4,7.5,3
10394,549,20140401,1,1,2014-04-01 00:00:00,0.8,2.5,1
10394,551,20140401,1,1,2014-04-01 00:00:00,2.4,7.5,3
10394,551,20140501,1,1,2014-05-01 00:00:00,3.2,10,4
10394,554,20140401,1,1,2014-04-01 00:00:00,26.4,82.5,33
10394,554,20140501,1,1,2014-05-01 00:00:00,3.2,10,4
10394,560,20140501,1,1,2014-05-01 00:00:00,5.6,17.5,7
10394,570,20140701,1,1,2014-07-01 00:00:00,16.77,88.17,42
10394,571,20140801,1,1,2014-08-01 00:00:00,1.74,11.94,6
10394,572,20140401,1,1,2014-04-01 00:00:00,1.6,5,2
10394,573,20140701,1,1,2014-07-01 00:00:00,1.74,11.94,6
10394,580,20140401,1,1,2014-04-01 00:00:00,0.8,2.5,1
10394,583,20140401,1,1,2014-04-01 00:00:00,4,12.5,5
10394,583,20140501,1,1,2014-05-01 00:00:00,1.6,5,2
10395,4,20140401,1,1,2014-04-01 00:00:00,5.88,11.88,12
10395,4,20140501,1,1,2014-05-01 00:00:00,3.43,6.93,7
10395,5,20140401,1,1,2014-04-01 00:00:00,0.49,0.99,1
10395,7,20140401,1,1,2014-04-01 00:00:00,5.39,10.89,11
10395,7,20140501,1,1,2014-05-01 00:00:00,1.47,2.97,3
10395,7,20140801,1,1,2014-08-01 00:00:00,0.49,0.99,1
10395,10,20140401,1,1,2014-04-01 00:00:00,2.94,5.94,6
10395,13,20140401,1,1,2014-04-01 00:00:00,1.96,3.96,4
10395,13,20140501,1,1,2014-05-01 00:00:00,0.98,1.98,2
10395,18,20140301,1,1,2014-03-01 00:00:00,0.98,1.98,2
10395,19,20140501,1,1,2014-05-01 00:00:00,1.96,3.96,4
10395,20,20140701,1,1,2014-07-01 00:00:00,0.5,1.5,2
10395,21,20140301,1,1,2014-03-01 00:00:00,1.47,2.97,3
10395,23,20140701,1,1,2014-07-01 00:00:00,1,1.5,2
10395,28,20140401,1,1,2014-04-01 00:00:00,1.47,2.97,3
10395,31,20140401,1,1,2014-04-01 00:00:00,7.35,14.85,15
10395,33,20140401,1,1,2014-04-01 00:00:00,4.9,9.9,10
10395,34,20140401,1,1,2014-04-01 00:00:00,8.33,16.83,17
10395,35,20140401,1,1,2014-04-01 00:00:00,1.47,2.97,3
10395,36,20140801,1,1,2014-08-01 00:00:00,0.98,1.98,2
10395,38,20140401,1,1,2014-04-01 00:00:00,0.49,0.99,1
10395,39,20140401,1,1,2014-04-01 00:00:00,0.49,0.99,1
10398,2,20140401,2,2,2014-04-01 00:00:00,5.46,38.71,95
10398,3,20140401,1,1,2014-04-01 00:00:00,30.36,54.51,69
10398,3,20140601,1,1,2014-06-01 00:00:00,-0.14,2.31,7
10398,4,20140401,2,2,2014-04-01 00:00:00,1.62,5.470000000000001,11
10398,4,20140801,1,1,2014-08-01 00:00:00,14.84,51.94,106
10398,5,20140401,1,1,2014-04-01 00:00:00,-0.18,2.97,9
10398,6,20140401,1,1,2014-04-01 00:00:00,5.72,10.27,13
10398,7,20140401,2,2,2014-04-01 00:00:00,5.92,15.02,26
10398,7,20140501,1,1,2014-05-01 00:00:00,1.58,6.13,13
10398,7,20140801,1,1,2014-08-01 00:00:00,18.43,64.63,132
10398,8,20140301,1,1,2014-03-01 00:00:00,-1.06,17.49,53
10398,10,20140401,2,2,2014-04-01 00:00:00,13.56,25.81,35
10398,10,20140501,2,2,2014-05-01 00:00:00,12.66,24.56,34
