Product ;Day Contacted;Inventory Levels;Manufactured Goods (%);Manufactured Goods %;Multiple Retailers;Plant;Product Advertised;Type;Demand Type;Forecast Accuracy;Forecast Bias
not on backorder;39;High;>125%;252,00%;no;California;no;cellular;No Segment;Below 50%;Accurate (5% to -5%)
not on backorder;185;High;>125%;1184,00%;no;California;no;cellular;No Segment;Below 50%;Consistent over (>20%)
not on backorder;22;High;>125%;86,00%;no;California;no;cellular;No Segment;Below 50%;Consistent under (<-20%)
not on backorder;22;High;>125%;138,00%;no;California;no;cellular;No Segment;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;28;High;>125%;230,00%;no;California;no;cellular;No Segment;Between 50% and 70 %;Consistent over (>20%)
not on backorder;12;High;>125%;86,00%;no;California;no;cellular;No Segment;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;33;High;>125%;184,00%;no;California;no;cellular;No Segment;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;130;High;>125%;950,00%;no;California;no;cellular;No Segment;Between 70 and 85%;Consistent over (>20%)
not on backorder;38;High;>125%;324,00%;no;California;no;cellular;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;322;High;>125%;1576,00%;no;California;no;cellular;Seasonal;Below 50%;Accurate (5% to -5%)
not on backorder;1749;High;>125%;8728,00%;no;California;no;cellular;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;55;High;>125%;300,00%;no;California;no;cellular;Seasonal;Below 50%;Consistent under (<-20%)
not on backorder;46;High;>125%;190,00%;no;California;no;cellular;Seasonal;Below 50%;Moderate over (5% to 20%)
not on backorder;36;High;>125%;298,00%;no;California;no;cellular;Seasonal;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;502;High;>125%;3614,00%;no;California;no;cellular;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;25;High;>125%;154,00%;no;California;no;cellular;Seasonal;Between 50% and 70 %;Consistent under (<-20%)
not on backorder;30;High;>125%;344,00%;no;California;no;cellular;Seasonal;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;1314;High;>125%;7722,00%;no;California;no;cellular;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;27;High;>125%;234,00%;no;California;no;cellular;Seasonal;Between 70 and 85%;Consistent under (<-20%)
not on backorder;70;High;>125%;508,00%;no;California;no;cellular;Seasonal;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;95;High;>125%;574,00%;no;California;no;cellular;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;1421;High;>125%;7490,00%;no;California;no;cellular;Stable (High Price);Below 50%;Consistent over (>20%)
not on backorder;47;High;>125%;172,00%;no;California;no;cellular;Stable (High Price);Below 50%;Consistent under (<-20%)
not on backorder;103;High;>125%;534,00%;no;California;no;cellular;Stable (High Price);Below 50%;Moderate over (5% to 20%)
not on backorder;18;High;>125%;72,00%;no;California;no;cellular;Stable (High Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;494;High;>125%;3080,00%;no;California;no;cellular;Stable (High Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;11;High;>125%;86,00%;no;California;no;cellular;Stable (High Price);Between 50% and 70 %;Consistent under (<-20%)
not on backorder;30;High;>125%;214,00%;no;California;no;cellular;Stable (High Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;87;High;>125%;570,00%;no;California;no;cellular;Stable (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;1545;High;>125%;9776,00%;no;California;no;cellular;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;42;High;>125%;320,00%;no;California;no;cellular;Stable (High Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;121;High;>125%;924,00%;no;California;no;cellular;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;221;High;>125%;1060,00%;no;California;no;cellular;Stable (Low Price);Below 50%;Accurate (5% to -5%)
not on backorder;2222;High;>125%;11518,00%;no;California;no;cellular;Stable (Low Price);Below 50%;Consistent over (>20%)
not on backorder;116;High;>125%;536,00%;no;California;no;cellular;Stable (Low Price);Below 50%;Consistent under (<-20%)
not on backorder;784;High;>125%;3812,00%;no;California;no;cellular;Stable (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;25;High;>125%;178,00%;no;California;no;cellular;Stable (Low Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;518;High;>125%;3272,00%;no;California;no;cellular;Stable (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;49;High;>125%;216,00%;no;California;no;cellular;Stable (Low Price);Between 50% and 70 %;Consistent under (<-20%)
not on backorder;302;High;>125%;1972,00%;no;California;no;cellular;Stable (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;206;High;>125%;1442,00%;no;California;no;cellular;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;3645;High;>125%;22078,00%;no;California;no;cellular;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;183;High;>125%;1110,00%;no;California;no;cellular;Stable (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;2506;High;>125%;15788,00%;no;California;no;cellular;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;249;High;>125%;1098,00%;no;California;no;cellular;Volatile (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;450;High;>125%;1856,00%;no;California;no;cellular;Volatile (High Price);Below 50%;Consistent over (>20%)
not on backorder;6;High;>125%;62,00%;no;California;no;cellular;Volatile (High Price);Below 50%;Consistent under (<-20%)
not on backorder;33;High;>125%;96,00%;no;California;no;cellular;Volatile (High Price);Below 50%;Moderate over (5% to 20%)
not on backorder;58;High;>125%;158,00%;no;California;no;cellular;Volatile (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;19;High;>125%;124,00%;no;California;no;cellular;Volatile (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;12;High;>125%;72,00%;no;California;no;cellular;Volatile (Low Price);Below 50%;Accurate (5% to -5%)
not on backorder;12;High;>125%;82,00%;no;California;no;cellular;Volatile (Low Price);Below 50%;Consistent over (>20%)
not on backorder;11;High;>125%;90,00%;no;California;no;cellular;Volatile (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;12;High;>125%;66,00%;no;California;no;cellular;Volatile (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;8;High;>125%;68,00%;no;California;no;telephone;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;8;High;>125%;80,00%;no;California;no;telephone;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;33;High;>125%;150,00%;no;California;no;telephone;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;6;High;>125%;74,00%;no;California;no;telephone;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;153;High;>125%;926,00%;no;California;no;telephone;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;26;High;>125%;236,00%;no;California;no;telephone;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;115;High;>125%;770,00%;no;California;no;telephone;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;8;High;>125%;88,00%;no;California;no;telephone;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;14;High;>125%;88,00%;no;California;no;telephone;Growing;Between 70 and 85%;Consistent under (<-20%)
not on backorder;5;High;>125%;80,00%;no;California;no;telephone;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;32;High;>125%;238,00%;no;California;no;telephone;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;12;High;>125%;80,00%;no;California;no;telephone;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;30;High;>125%;146,00%;no;California;no;telephone;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;29;High;>125%;132,00%;no;California;no;telephone;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;7;High;>125%;62,00%;no;California;no;telephone;No Segment;Below 50%;Accurate (5% to -5%)
not on backorder;13;High;>125%;64,00%;no;California;no;telephone;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;41;High;>125%;296,00%;no;California;no;telephone;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;13;High;>125%;72,00%;no;California;no;telephone;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;50;High;>125%;154,00%;no;California;no;telephone;Seasonal;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;57;High;>125%;442,00%;no;California;no;telephone;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;58;High;>125%;362,00%;no;California;no;telephone;Stable (High Price);Below 50%;Consistent over (>20%)
not on backorder;13;High;>125%;76,00%;no;California;no;telephone;Stable (High Price);Below 50%;Moderate over (5% to 20%)
not on backorder;28;High;>125%;156,00%;no;California;no;telephone;Stable (High Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;19;High;>125%;152,00%;no;California;no;telephone;Stable (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;129;High;>125%;796,00%;no;California;no;telephone;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;31;High;>125%;146,00%;no;California;no;telephone;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;133;High;>125%;642,00%;no;California;no;telephone;Stable (Low Price);Below 50%;Consistent over (>20%)
not on backorder;28;High;>125%;162,00%;no;California;no;telephone;Stable (Low Price);Below 50%;Consistent under (<-20%)
not on backorder;80;High;>125%;430,00%;no;California;no;telephone;Stable (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;31;High;>125%;128,00%;no;California;no;telephone;Stable (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;22;High;>125%;140,00%;no;California;no;telephone;Stable (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;18;High;>125%;68,00%;no;California;no;telephone;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;218;High;>125%;1512,00%;no;California;no;telephone;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;15;High;>125%;78,00%;no;California;no;telephone;Stable (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;327;High;>125%;2236,00%;no;California;no;telephone;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;18;High;>125%;56,00%;no;California;no;telephone;Volatile (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;82;High;>125%;412,00%;no;California;no;telephone;Volatile (High Price);Below 50%;Consistent over (>20%)
not on backorder;27;High;>125%;74,00%;no;California;no;unknown;Cyclical;Below 50%;Consistent over (>20%)
not on backorder;14;High;>125%;50,00%;no;California;no;unknown;Cyclical;Below 50%;Consistent under (<-20%)
not on backorder;8;High;>125%;82,00%;no;California;no;unknown;Cyclical;Below 50%;Moderate over (5% to 20%)
not on backorder;257;High;>125%;924,00%;no;California;no;unknown;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;231;High;>125%;944,00%;no;California;no;unknown;Declining;Below 50%;Consistent over (>20%)
not on backorder;30;High;>125%;74,00%;no;California;no;unknown;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;44;High;>125%;144,00%;no;California;no;unknown;Declining;Between 50% and 70 %;Consistent over (>20%)
not on backorder;372;High;>125%;1422,00%;no;California;no;unknown;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;390;High;>125%;1622,00%;no;California;no;unknown;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;133;High;>125%;676,00%;no;California;no;unknown;Declining;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;3461;High;>125%;12504,00%;no;California;no;unknown;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;517;High;>125%;1790,00%;no;California;no;unknown;Growing;Below 50%;Consistent over (>20%)
not on backorder;80;High;>125%;306,00%;no;California;no;unknown;Growing;Below 50%;Consistent under (<-20%)
not on backorder;20;High;>125%;66,00%;no;California;no;unknown;Growing;Below 50%;Moderate over (5% to 20%)
not on backorder;755;High;>125%;3296,00%;no;California;no;unknown;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;89;High;>125%;418,00%;no;California;no;unknown;Growing;Between 50% and 70 %;Consistent over (>20%)
not on backorder;20;High;>125%;64,00%;no;California;no;unknown;Growing;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;3665;High;>125%;13552,00%;no;California;no;unknown;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;853;High;>125%;3144,00%;no;California;no;unknown;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;111;High;>125%;538,00%;no;California;no;unknown;Growing;Between 70 and 85%;Consistent under (<-20%)
not on backorder;132;High;>125%;682,00%;no;California;no;unknown;Growing;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;1152;High;>125%;4636,00%;no;California;no;unknown;Intermittent;Below 50%;Accurate (5% to -5%)
not on backorder;2843;High;>125%;9712,00%;no;California;no;unknown;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;61;High;>125%;266,00%;no;California;no;unknown;Intermittent;Below 50%;Consistent under (<-20%)
not on backorder;19;High;>125%;54,00%;no;California;no;unknown;Intermittent;Below 50%;Moderate over (5% to 20%)
not on backorder;104;High;>125%;342,00%;no;California;no;unknown;Intermittent;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;961;High;>125%;3376,00%;no;California;no;unknown;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;28;High;>125%;174,00%;no;California;no;unknown;Intermittent;Between 50% and 70 %;Consistent under (<-20%)
not on backorder;36;High;>125%;134,00%;no;California;no;unknown;Intermittent;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;487;High;>125%;1940,00%;no;California;no;unknown;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;3523;High;>125%;13322,00%;no;California;no;unknown;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;132;High;>125%;570,00%;no;California;no;unknown;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;141;High;>125%;720,00%;no;California;no;unknown;Intermittent;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;197;High;>125%;630,00%;no;California;no;unknown;No Segment;Below 50%;Accurate (5% to -5%)
not on backorder;256;High;>125%;868,00%;no;California;no;unknown;No Segment;Below 50%;Consistent over (>20%)
not on backorder;14;High;>125%;86,00%;no;California;no;unknown;No Segment;Below 50%;Moderate over (5% to 20%)
not on backorder;146;High;>125%;636,00%;no;California;no;unknown;No Segment;Between 50% and 70 %;Consistent over (>20%)
not on backorder;36;High;>125%;140,00%;no;California;no;unknown;No Segment;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;585;High;>125%;2332,00%;no;California;no;unknown;No Segment;Between 70 and 85%;Consistent over (>20%)
not on backorder;230;High;>125%;1270,00%;no;California;no;unknown;No Segment;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;289;High;>125%;974,00%;no;California;no;unknown;Seasonal;Below 50%;Accurate (5% to -5%)
not on backorder;2342;High;>125%;9318,00%;no;California;no;unknown;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;136;High;>125%;560,00%;no;California;no;unknown;Seasonal;Below 50%;Consistent under (<-20%)
not on backorder;45;High;>125%;154,00%;no;California;no;unknown;Seasonal;Below 50%;Moderate over (5% to 20%)
not on backorder;94;High;>125%;356,00%;no;California;no;unknown;Seasonal;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;1035;High;>125%;4224,00%;no;California;no;unknown;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;9;High;>125%;68,00%;no;California;no;unknown;Seasonal;Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;202;High;>125%;800,00%;no;California;no;unknown;Seasonal;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;2972;High;>125%;11304,00%;no;California;no;unknown;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;28;High;>125%;156,00%;no;California;no;unknown;Seasonal;Between 70 and 85%;Consistent under (<-20%)
not on backorder;89;High;>125%;464,00%;no;California;no;unknown;Seasonal;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;195;High;>125%;492,00%;no;California;no;unknown;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;2516;High;>125%;8796,00%;no;California;no;unknown;Stable (High Price);Below 50%;Consistent over (>20%)
not on backorder;13;High;>125%;164,00%;no;California;no;unknown;Stable (High Price);Below 50%;Consistent under (<-20%)
not on backorder;61;High;>125%;368,00%;no;California;no;unknown;Stable (High Price);Below 50%;Moderate over (5% to 20%)
not on backorder;29;High;>125%;82,00%;no;California;no;unknown;Stable (High Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;610;High;>125%;2534,00%;no;California;no;unknown;Stable (High Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;5;High;>125%;80,00%;no;California;no;unknown;Stable (High Price);Between 50% and 70 %;Consistent under (<-20%)
not on backorder;98;High;>125%;368,00%;no;California;no;unknown;Stable (High Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;304;High;>125%;990,00%;no;California;no;unknown;Stable (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;3243;High;>125%;12560,00%;no;California;no;unknown;Stable (High Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;63;High;>125%;284,00%;no;California;no;unknown;Stable (High Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;505;High;>125%;2392,00%;no;California;no;unknown;Stable (High Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;316;High;>125%;1200,00%;no;California;no;unknown;Stable (Low Price);Below 50%;Accurate (5% to -5%)
not on backorder;3834;High;>125%;13078,00%;no;California;no;unknown;Stable (Low Price);Below 50%;Consistent over (>20%)
not on backorder;267;High;>125%;1088,00%;no;California;no;unknown;Stable (Low Price);Below 50%;Consistent under (<-20%)
not on backorder;1423;High;>125%;5202,00%;no;California;no;unknown;Stable (Low Price);Below 50%;Moderate over (5% to 20%)
not on backorder;61;High;>125%;400,00%;no;California;no;unknown;Stable (Low Price);Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;903;High;>125%;3772,00%;no;California;no;unknown;Stable (Low Price);Between 50% and 70 %;Consistent over (>20%)
not on backorder;79;High;>125%;266,00%;no;California;no;unknown;Stable (Low Price);Between 50% and 70 %;Consistent under (<-20%)
not on backorder;326;High;>125%;1458,00%;no;California;no;unknown;Stable (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;431;High;>125%;1664,00%;no;California;no;unknown;Stable (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;8305;High;>125%;34026,00%;no;California;no;unknown;Stable (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;696;High;>125%;2772,00%;no;California;no;unknown;Stable (Low Price);Between 70 and 85%;Consistent under (<-20%)
not on backorder;6745;High;>125%;27418,00%;no;California;no;unknown;Stable (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;279;High;>125%;780,00%;no;California;no;unknown;Volatile (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;459;High;>125%;1538,00%;no;California;no;unknown;Volatile (High Price);Below 50%;Consistent over (>20%)
not on backorder;92;High;>125%;318,00%;no;California;no;unknown;Volatile (High Price);Below 50%;Consistent under (<-20%)
not on backorder;73;High;>125%;230,00%;no;California;no;unknown;Volatile (High Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;28;High;>125%;88,00%;no;California;no;unknown;Volatile (Low Price);Between 50% and 70 %;Moderate over (5% to 20%)
not on backorder;21;High;>125%;78,00%;no;California;no;unknown;Volatile (Low Price);Between 70 and 85%;Accurate (5% to -5%)
not on backorder;24;High;>125%;172,00%;no;California;no;unknown;Volatile (Low Price);Between 70 and 85%;Consistent over (>20%)
not on backorder;29;High;>125%;172,00%;no;California;no;unknown;Volatile (Low Price);Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;26;High;>125%;58,00%;no;California;yes;cellular;Cyclical;Below 50%;Consistent over (>20%)
not on backorder;87;High;>125%;294,00%;no;California;yes;cellular;Declining;Below 50%;Accurate (5% to -5%)
not on backorder;6;High;>125%;76,00%;no;California;yes;cellular;Declining;Below 50%;Consistent over (>20%)
not on backorder;26;High;>125%;48,00%;no;California;yes;cellular;Declining;Below 50%;Consistent under (<-20%)
not on backorder;7;High;>125%;76,00%;no;California;yes;cellular;Declining;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;34;High;>125%;146,00%;no;California;yes;cellular;Declining;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;37;High;>125%;222,00%;no;California;yes;cellular;Declining;Between 70 and 85%;Consistent over (>20%)
not on backorder;727;High;>125%;2738,00%;no;California;yes;cellular;Growing;Below 50%;Accurate (5% to -5%)
not on backorder;21;High;>125%;146,00%;no;California;yes;cellular;Growing;Below 50%;Consistent over (>20%)
not on backorder;63;High;>125%;326,00%;no;California;yes;cellular;Growing;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;449;High;>125%;1928,00%;no;California;yes;cellular;Growing;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;49;High;>125%;306,00%;no;California;yes;cellular;Growing;Between 70 and 85%;Consistent over (>20%)
not on backorder;44;High;>125%;144,00%;no;California;yes;cellular;Growing;Between 70 and 85%;Consistent under (<-20%)
not on backorder;190;High;>125%;752,00%;no;California;yes;cellular;Intermittent;Below 50%;Accurate (5% to -5%)
not on backorder;438;High;>125%;1418,00%;no;California;yes;cellular;Intermittent;Below 50%;Consistent over (>20%)
not on backorder;38;High;>125%;194,00%;no;California;yes;cellular;Intermittent;Between 50% and 70 %;Accurate (5% to -5%)
not on backorder;40;High;>125%;236,00%;no;California;yes;cellular;Intermittent;Between 50% and 70 %;Consistent over (>20%)
not on backorder;147;High;>125%;452,00%;no;California;yes;cellular;Intermittent;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;260;High;>125%;1138,00%;no;California;yes;cellular;Intermittent;Between 70 and 85%;Consistent over (>20%)
not on backorder;26;High;>125%;64,00%;no;California;yes;cellular;Intermittent;Between 70 and 85%;Consistent under (<-20%)
not on backorder;10;High;>125%;124,00%;no;California;yes;cellular;No Segment;Below 50%;Accurate (5% to -5%)
not on backorder;27;High;>125%;64,00%;no;California;yes;cellular;No Segment;Below 50%;Consistent over (>20%)
not on backorder;26;High;>125%;54,00%;no;California;yes;cellular;No Segment;Below 50%;Moderate over (5% to 20%)
not on backorder;39;High;>125%;278,00%;no;California;yes;cellular;No Segment;Between 70 and 85%;Consistent over (>20%)
not on backorder;104;High;>125%;244,00%;no;California;yes;cellular;Seasonal;Below 50%;Accurate (5% to -5%)
not on backorder;213;High;>125%;850,00%;no;California;yes;cellular;Seasonal;Below 50%;Consistent over (>20%)
not on backorder;4;High;>125%;52,00%;no;California;yes;cellular;Seasonal;Below 50%;Consistent under (<-20%)
not on backorder;8;High;>125%;80,00%;no;California;yes;cellular;Seasonal;Below 50%;Moderate over (5% to 20%)
not on backorder;50;High;>125%;272,00%;no;California;yes;cellular;Seasonal;Between 50% and 70 %;Consistent over (>20%)
not on backorder;37;High;>125%;128,00%;no;California;yes;cellular;Seasonal;Between 70 and 85%;Accurate (5% to -5%)
not on backorder;261;High;>125%;1092,00%;no;California;yes;cellular;Seasonal;Between 70 and 85%;Consistent over (>20%)
not on backorder;54;High;>125%;142,00%;no;California;yes;cellular;Seasonal;Between 70 and 85%;Consistent under (<-20%)
not on backorder;11;High;>125%;90,00%;no;California;yes;cellular;Seasonal;Between 70 and 85%;Moderate over (5% to 20%)
not on backorder;11;High;>125%;86,00%;no;California;yes;cellular;Stable (High Price);Below 50%;Accurate (5% to -5%)
not on backorder;98;High;>125%;314,00%;no;California;yes;cellular;Stable (High Price);Below 50%;Consistent over (>20%)
